iter	RMSE
0	7296.669905
1	7095.428449
2	6900.099109
3	6725.285562
4	6543.728255
5	6367.684976
6	6195.106671
7	6013.787378
8	5884.341304
9	5723.804528
10	5593.588687
11	5460.979304
12	5354.228456
13	5225.479216
14	5092.82921
15	4977.505209
16	4883.065188
17	4781.10448
18	4663.25507
19	4548.208433
20	4451.248164
21	4360.677927
22	4279.587583
23	4188.536802
24	4109.836489
25	4020.543126
26	3934.06719
27	3883.800999
28	3805.646921
29	3725.501606
30	3655.137624
31	3592.972468
32	3525.364503
33	3466.378414
34	3411.141619
35	3354.120691
36	3299.922343
37	3247.806953
38	3198.895687
39	3147.618025
40	3096.353152
41	3045.110854
42	3006.553115
43	2963.303175
44	2924.008512
45	2884.458927
46	2843.12259
47	2801.057076
48	2766.738877
49	2732.813276
50	2698.964273
51	2666.778986
52	2636.104174
53	2603.820854
54	2576.186486
55	2546.094303
56	2516.462519
57	2489.796761
58	2468.959517
59	2448.355487
60	2423.076538
61	2401.67719
62	2380.944412
63	2361.165224
64	2342.351185
65	2324.659441
66	2312.563218
67	2294.394279
68	2278.359069
69	2262.145877
70	2246.453497
71	2235.565214
72	2221.846477
73	2206.756663
74	2193.378073
75	2179.52203
76	2164.390067
77	2149.090294
78	2137.568289
79	2125.080972
80	2113.160351
81	2101.543532
82	2091.491692
83	2081.30823
84	2068.996021
85	2060.679879
86	2050.693793
87	2041.715903
88	2032.298474
89	2022.828205
90	2015.518254
91	2007.501304
92	1999.923322
93	1991.775727
94	1979.454315
95	1970.944135
96	1964.673322
97	1956.768596
98	1949.700147
99	1941.460336
100	1934.67714
101	1928.848063
102	1921.121119
103	1912.469357
104	1906.399668
105	1901.936618
106	1896.575492
107	1889.26152
108	1882.742291
109	1876.495828
110	1868.08428
111	1857.563346
112	1852.206788
113	1848.040369
114	1842.443805
115	1836.186316
116	1832.182411
117	1827.160533
118	1822.258296
119	1820.108005
120	1816.897448
121	1810.574409
122	1807.043888
123	1805.353061
124	1801.568408
125	1797.395496
126	1790.752228
127	1787.102511
128	1783.165138
129	1778.972737
130	1771.867982
131	1769.301555
132	1766.213323
133	1763.160817
134	1760.623631
135	1756.623492
136	1748.414736
137	1748.405894
138	1743.560173
139	1740.33978
140	1737.580845
141	1733.838358
142	1732.692055
143	1728.939544
144	1725.939889
145	1722.441266
146	1714.336725
147	1712.465829
148	1709.700546
149	1706.736693
150	1704.633226
151	1697.441269
152	1689.883191
153	1686.228245
154	1683.868952
155	1682.008895
156	1679.356416
157	1677.122476
158	1670.858159
159	1666.628739
160	1664.727285
161	1662.75846
162	1660.508658
163	1655.913366
164	1655.708982
165	1649.284254
166	1645.556513
167	1644.1583
168	1642.778741
169	1635.698494
170	1634.024544
171	1630.476311
172	1624.52636
173	1621.412781
174	1615.681286
175	1613.621753
176	1607.072812
177	1605.752681
178	1601.847256
179	1599.89912
180	1593.521428
181	1590.44884
182	1587.170371
183	1584.934037
184	1579.335395
185	1578.090423
186	1575.00498
187	1572.363896
188	1571.321097
189	1568.600445
190	1566.899557
191	1564.757291
192	1562.389022
193	1558.411011
194	1554.913339
195	1551.815285
196	1550.522704
197	1549.164875
198	1549.158743
199	1546.996981
200	1544.918468
201	1543.936612
202	1543.138194
203	1542.112043
204	1539.067577
205	1537.701339
206	1532.848583
207	1531.767318
208	1531.730287
209	1530.90523
210	1527.126175
211	1524.406282
212	1523.39806
213	1521.143058
214	1519.726411
215	1519.418308
216	1516.589864
217	1515.886759
218	1514.595915
219	1511.887701
220	1509.294416
221	1507.022486
222	1506.133575
223	1502.803701
224	1501.08067
225	1497.827759
226	1495.40364
227	1492.618861
228	1490.653867
229	1488.819304
230	1487.670901
231	1485.115973
232	1481.726148
233	1480.933371
234	1478.887054
235	1478.523243
236	1474.155945
237	1471.360836
238	1468.314788
239	1462.55671
240	1458.875106
241	1457.81772
242	1455.656024
243	1451.335696
244	1449.127231
245	1448.548757
246	1446.632587
247	1446.164512
248	1444.527971
249	1442.358922
250	1438.437413
251	1434.532738
252	1433.424293
253	1432.904034
254	1430.911409
255	1429.000956
256	1427.21194
257	1423.913065
258	1421.348145
259	1420.943676
260	1420.502298
261	1420.20389
262	1418.100175
263	1415.49321
264	1414.104241
265	1411.79551
266	1410.646163
267	1408.350456
268	1405.267136
269	1402.880336
270	1400.836306
271	1397.05814
272	1396.179392
273	1394.237782
274	1391.645403
275	1387.637645
276	1387.136212
277	1386.853102
278	1385.584296
279	1382.371847
280	1380.019785
281	1379.569186
282	1378.324185
283	1374.795325
284	1372.674681
285	1370.857317
286	1369.830358
287	1367.979439
288	1366.605224
289	1364.107941
290	1362.23082
291	1360.100091
292	1358.574883
293	1357.885648
294	1356.523807
295	1354.874212
296	1352.646251
297	1352.249454
298	1350.071538
299	1349.271433
300	1347.866713
301	1346.084075
302	1343.056097
303	1341.455439
304	1340.131025
305	1338.112408
306	1336.897938
307	1334.014522
308	1331.022298
309	1328.714385
310	1326.980603
311	1326.599738
312	1323.523483
313	1321.695316
314	1319.434127
315	1315.127861
316	1313.858923
317	1310.913147
318	1309.085455
319	1307.328317
320	1304.716203
