Model,MAE,RMSE,R²,MAPE,RAE,WI
catboost_ppso,1520.1968288632172,1922.1205350181324,0.911066038809608,0.9019747190515972,0.2841472893447864,0.9766221295642822
linear,1694.0299634809437,2118.9187491354337,0.8919225704461538,1.0098600330139498,0.316639275291679,0.9730937873537723
catboost,1695.1393956419981,2160.960735405798,0.8875912415219269,1.0023355295925918,0.31684664458445094,0.9699679576243457
xgb,1798.6124267578125,2202.047229284604,0.883276104927063,1.0666887731528178,0.33618726375324876,0.9690788922212459
rf,1749.3120187793436,2204.528435741202,0.8830129446362887,1.0350254588714363,0.32697230971472496,0.9664889468169326
