Model,MAE,RMSE,R²,MAPE,RAE,WI
linear,1324.208791548193,1706.411662667598,0.9289139752151875,0.7874017385391014,0.25068685743230723,0.9818598070888371
catboost_ppso,1903.3333456000344,2355.349273779218,0.8645661443710652,1.120773189235269,0.3603213164721141,0.9621574922021926
catboost,1953.6581968393548,2467.0289604222007,0.8514183753921999,1.1474687792958218,0.3698483479255029,0.9576212013065569
rf,2037.4646316431076,2584.9224614647833,0.8368783341593199,1.1943429920811408,0.3857138004943501,0.9510394777658622
xgb,2140.506103515625,2732.237087077181,0.817755937576294,1.2559781248518158,0.40522063953798887,0.9465425509635781
baseline,4142.188679245283,5688.798606463904,0.2099442726381443,2.4820705082963426,0.7841605262850185,0.7776262637065907
