Model,MAE,RMSE,R²,MAPE (%),RAE,WI
catboost_ppso,1496.1831254680426,1895.547527383831,0.9135080366558982,0.8879251346073322,0.2796587727281776,0.9774261406650231
catboost,1679.406546666851,2118.7957487295193,0.8919351175831063,0.9934208004757367,0.3139059422325707,0.9709461352943736
linear,1693.3648123241335,2119.1688977203635,0.8918970508155332,1.0094468585897822,0.3165149486948701,0.973084900239326
xgb_ppso,1687.78173828125,2165.6053426236276,0.8871074914932251,0.9980572412031371,0.31547138051715695,0.9696862442499768
rf,1773.9900938967141,2237.611156975686,0.8794754171177528,1.0495372147855178,0.33158500724027595,0.9653430014127822
rf_ppso,1794.1104282605288,2283.9464869632543,0.874432210844377,1.0613963247922433,0.33534579555507854,0.9634209923711453
xgb,1833.42578125,2313.4192227091053,0.8711705803871155,1.0848636514501822,0.34269439983731015,0.9652313319778497
