,date,demand_mwh
232,2023-08-22,160725
233,2023-08-23,163373
234,2023-08-24,164910
235,2023-08-25,163452
236,2023-08-26,153456
237,2023-08-27,149357
238,2023-08-28,163169
239,2023-08-29,162791
240,2023-08-30,161666
241,2023-08-31,162062
242,2023-09-01,151344
243,2023-09-02,152635
244,2023-09-03,150610
245,2023-09-04,163311
246,2023-09-05,164681
247,2023-09-06,162378
248,2023-09-07,160202
249,2023-09-08,163521
250,2023-09-09,153687
251,2023-09-10,147569
252,2023-09-11,159887
253,2023-09-12,163864
254,2023-09-13,166514
255,2023-09-14,166853
256,2023-09-15,166268
257,2023-09-16,157641
258,2023-09-17,152869
259,2023-09-18,164748
260,2023-09-19,166128
261,2023-09-20,163706
262,2023-09-21,162202
263,2023-09-22,160788
264,2023-09-23,152758
265,2023-09-24,147234
266,2023-09-25,159890
267,2023-09-26,163408
268,2023-09-27,164731
269,2023-09-28,165334
270,2023-09-29,164603
271,2023-09-30,152985
272,2023-10-01,148592
273,2023-10-02,164031
274,2023-10-03,162881
275,2023-10-04,163730
276,2023-10-05,166472
277,2023-10-06,167691
278,2023-10-07,160142
279,2023-10-08,155427
280,2023-10-09,167038
281,2023-10-10,167152
282,2023-10-11,166817
283,2023-10-12,168132
284,2023-10-13,168115
285,2023-10-14,159208
286,2023-10-15,155070
287,2023-10-16,167352
288,2023-10-17,168272
289,2023-10-18,165250
290,2023-10-19,163674
291,2023-10-20,163138
292,2023-10-21,153429
293,2023-10-22,149039
294,2023-10-23,161003
295,2023-10-24,162101
296,2023-10-25,161060
297,2023-10-26,163539
298,2023-10-27,165245
299,2023-10-28,153567
300,2023-10-29,150026
301,2023-10-30,162637
302,2023-10-31,163031
303,2023-11-01,163114
304,2023-11-02,162896
305,2023-11-03,164007
306,2023-11-04,156094
307,2023-11-05,151334
308,2023-11-06,163213
309,2023-11-07,162283
310,2023-11-08,161531
311,2023-11-09,162106
312,2023-11-10,161094
313,2023-11-11,152234
314,2023-11-12,146864
315,2023-11-13,149842
316,2023-11-14,160124
317,2023-11-15,160919
318,2023-11-16,160910
319,2023-11-17,159575
320,2023-11-18,153069
321,2023-11-19,147814
322,2023-11-20,160642
323,2023-11-21,160836
324,2023-11-22,159153
325,2023-11-23,160054
326,2023-11-24,158373
327,2023-11-25,149696
328,2023-11-26,144492
329,2023-11-27,156173
330,2023-11-28,158586
331,2023-11-29,157974
332,2023-11-30,158995
333,2023-12-01,154529
334,2023-12-02,147998
335,2023-12-03,143120
336,2023-12-04,154474
337,2023-12-05,156748
338,2023-12-06,156043
339,2023-12-07,155685
340,2023-12-08,157836
341,2023-12-09,150915
342,2023-12-10,146809
343,2023-12-11,159317
344,2023-12-12,157414
345,2023-12-13,157017
346,2023-12-14,157693
347,2023-12-15,157554
348,2023-12-16,149473
349,2023-12-17,145336
350,2023-12-18,157640
351,2023-12-19,157015
352,2023-12-20,156840
353,2023-12-21,156116
354,2023-12-22,154461
355,2023-12-23,146000
356,2023-12-24,142249
357,2023-12-25,143436
358,2023-12-26,152710
359,2023-12-27,153454
360,2023-12-28,153525
361,2023-12-29,154582
362,2023-12-30,148203
363,2023-12-31,141606
364,2024-01-01,141113
365,2024-01-02,154442
366,2024-01-03,157571
367,2024-01-04,155150
368,2024-01-05,155763
369,2024-01-06,150533
370,2024-01-07,144084
371,2024-01-08,155471
372,2024-01-09,157989
373,2024-01-10,157809
374,2024-01-11,158382
375,2024-01-12,155588
376,2024-01-13,148526
377,2024-01-14,146542
378,2024-01-15,160866
379,2024-01-16,159259
380,2024-01-17,160655
381,2024-01-18,159790
382,2024-01-19,158581
383,2024-01-20,146344
384,2024-01-21,143205
385,2024-01-22,158804
386,2024-01-23,160616
387,2024-01-24,160189
388,2024-01-25,158272
389,2024-01-26,159331
390,2024-01-27,152019
391,2024-01-28,148552
392,2024-01-29,160347
393,2024-01-30,159245
394,2024-01-31,160022
395,2024-02-01,161308
396,2024-02-02,161529
397,2024-02-03,153054
398,2024-02-04,149040
399,2024-02-05,162296
400,2024-02-06,162792
401,2024-02-07,163066
402,2024-02-08,161117
403,2024-02-09,152192
404,2024-02-10,139332
405,2024-02-11,139739
406,2024-02-12,141790
407,2024-02-13,150930
408,2024-02-14,156092
409,2024-02-15,156994
410,2024-02-16,158361
411,2024-02-17,149930
412,2024-02-18,148464
413,2024-02-19,163185
414,2024-02-20,164957
415,2024-02-21,165816
416,2024-02-22,166198
417,2024-02-23,165625
418,2024-02-24,156367
419,2024-02-25,153226
420,2024-02-26,167322
421,2024-02-27,166360
422,2024-02-28,165433
423,2024-02-29,166687
424,2024-03-01,167942
425,2024-03-02,158124
426,2024-03-03,151759
427,2024-03-04,164592
428,2024-03-05,163244
429,2024-03-06,163948
430,2024-03-07,166145
431,2024-03-08,164213
432,2024-03-09,155547
433,2024-03-10,152131
434,2024-03-11,162708
435,2024-03-12,165342
436,2024-03-13,165398
437,2024-03-14,166795
438,2024-03-15,165504
439,2024-03-16,157785
440,2024-03-17,154211
441,2024-03-18,166960
442,2024-03-19,168662
443,2024-03-20,167458
444,2024-03-21,167433
445,2024-03-22,166330
446,2024-03-23,159323
447,2024-03-24,157110
448,2024-03-25,170220
449,2024-03-26,171623
450,2024-03-27,171346
451,2024-03-28,170464
452,2024-03-29,158724
453,2024-03-30,160745
454,2024-03-31,157250
455,2024-04-01,169109
456,2024-04-02,172227
457,2024-04-03,172790
458,2024-04-04,170229
459,2024-04-05,168657
460,2024-04-06,161260
461,2024-04-07,158100
462,2024-04-08,169671
463,2024-04-09,170963
464,2024-04-10,158596
465,2024-04-11,166615
466,2024-04-12,162334
467,2024-04-13,156340
468,2024-04-14,154240
469,2024-04-15,168358
470,2024-04-16,166908
471,2024-04-17,166379
472,2024-04-18,168420
473,2024-04-19,170518
474,2024-04-20,160568
475,2024-04-21,157011
476,2024-04-22,171114
477,2024-04-23,172662
478,2024-04-24,172431
479,2024-04-25,173223
480,2024-04-26,172998
481,2024-04-27,164652
482,2024-04-28,159623
483,2024-04-29,172767
484,2024-04-30,175732
485,2024-05-01,164320
486,2024-05-02,172595
487,2024-05-03,172600
488,2024-05-04,157405
489,2024-05-05,154600
490,2024-05-06,172481
491,2024-05-07,170079
492,2024-05-08,166956
493,2024-05-09,169627
494,2024-05-10,171308
495,2024-05-11,163143
496,2024-05-12,158639
497,2024-05-13,169332
498,2024-05-14,168868
499,2024-05-15,171283
500,2024-05-16,167806
501,2024-05-17,167539
502,2024-05-18,160103
503,2024-05-19,156700
504,2024-05-20,166834
505,2024-05-21,168635
506,2024-05-22,157014
507,2024-05-23,167644
508,2024-05-24,164952
509,2024-05-25,156899
510,2024-05-26,154546
511,2024-05-27,170845
512,2024-05-28,172193
513,2024-05-29,173578
514,2024-05-30,173259
515,2024-05-31,171162
516,2024-06-01,157966
517,2024-06-02,151974
518,2024-06-03,163968
519,2024-06-04,167536
520,2024-06-05,170103
521,2024-06-06,170291
522,2024-06-07,166260
523,2024-06-08,158372
524,2024-06-09,154467
525,2024-06-10,167733
526,2024-06-11,168548
527,2024-06-12,167229
528,2024-06-13,167744
529,2024-06-14,167378
530,2024-06-15,158195
531,2024-06-16,152163
532,2024-06-17,154047
533,2024-06-18,167256
534,2024-06-19,168306
535,2024-06-20,169273
536,2024-06-21,165114
537,2024-06-22,154445
538,2024-06-23,152582
539,2024-06-24,168213
540,2024-06-25,171648
541,2024-06-26,170041
542,2024-06-27,169178
543,2024-06-28,168156
544,2024-06-29,158609
545,2024-06-30,151149
546,2024-07-01,161975
547,2024-07-02,166020
548,2024-07-03,168401
549,2024-07-04,168416
550,2024-07-05,167711
551,2024-07-06,158077
552,2024-07-07,153436
553,2024-07-08,163372
554,2024-07-09,163446
555,2024-07-10,165510
556,2024-07-11,167071
557,2024-07-12,166391
558,2024-07-13,158162
559,2024-07-14,154798
560,2024-07-15,167784
561,2024-07-16,169459
562,2024-07-17,171099
563,2024-07-18,172606
564,2024-07-19,172167
565,2024-07-20,164157
566,2024-07-21,160674
567,2024-07-22,174390
568,2024-07-23,176014
569,2024-07-24,174707
570,2024-07-25,173103
571,2024-07-26,173548
572,2024-07-27,164870
573,2024-07-28,161534
574,2024-07-29,174420
575,2024-07-30,175205
576,2024-07-31,172946
577,2024-08-01,170527
578,2024-08-02,171064
579,2024-08-03,163001
580,2024-08-04,156141
581,2024-08-05,166437
582,2024-08-06,168670
